Country,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 
Luxembourg,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 64.8747848, 65.6291667, 66.5366667, 67.1816667, 67.8658333, 70.4300000, 72.1225000, 73.6041667, 75.4650000, 77.9125000, 80.8458333, 83.2383333, 85.4450000, 88.9416667, 88.9491667, 91.4383333, 94.8508333, 97.5941667, 99.2525000, 99.9425000, 100.0008333, 100.0391667, 102.1491667, 104.2083333, 105.9613470, 107.6254876, 109.6538511 
Hungary,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 25.7140942, 31.7558333, 37.6183333, 42.9666667, 47.2500000, 51.9516667, 56.6708333, 59.6416667, 62.4300000, 66.6566667, 68.9808333, 71.7633333, 77.4508333, 82.1241667, 85.4275000, 89.4675000, 92.9758333, 98.2416667, 99.9183333, 99.9350000, 99.9983333, 100.4475000, 102.8441667, 105.8383333, 109.3856051, 112.7248583, 116.0927357 
Malta,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 63.6925000, 66.1916667, 68.6316667, 70.2058333, 72.3383333, 74.1566667, 76.0950000, 77.5641667, 79.6783333, 81.6875000, 83.7916667, 84.3758333, 88.3283333, 89.9533333, 91.7891667, 94.0958333, 97.1325000, 98.0833333, 98.8400000, 100.0025000, 100.9025000, 102.1750000, 103.9541667, 105.6253806, 107.3971691, 109.2585441 
Netherlands,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 59.3737774, 60.7987481, 62.7203993, 64.4929073, 65.5369089, 66.9365593, 67.8600991, 68.8308333, 70.1108333, 71.3566667, 72.8075000, 74.5091667, 78.3233333, 81.3458333, 83.1633333, 84.3158333, 85.5741667, 86.9858333, 88.3641667, 90.3166667, 91.1966667, 92.0458333, 94.3241667, 96.9883333, 99.4733333, 99.7900000, 100.0016667, 100.1058333, 101.4008333, 103.0241667, 105.7333758, 107.1966444, 108.8456580 
Austria,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 59.7345155, 61.4070819, 63.2968986, 65.4976978, 67.5669275, 69.3909595, 70.5152808, 71.7716667, 72.6066667, 73.2025000, 73.5791667, 75.0191667, 76.7441667, 78.0350000, 79.0508333, 80.6041667, 82.2991667, 83.6875000, 85.5291667, 88.2875000, 88.6425000, 90.1441667, 93.3450000, 95.7458333, 97.7733333, 99.2016667, 100.0000000, 100.9708333, 103.2233333, 105.4116667, 107.0074890, 108.6670837, 110.4430993 
Poland,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 46.1916667, 53.1083333, 59.3833333, 63.6333333, 70.0416667, 73.7666667, 75.2000000, 75.7333333, 78.4833333, 80.1833333, 81.1916667, 83.3083333, 86.7833333, 90.2666667, 92.6500000, 96.2583333, 99.8000000, 100.6166667, 100.7000000, 100.0000000, 99.8083333, 101.4250000, 102.6166667, 104.8343159, 107.5089833, 110.2265546 
Portugal,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 40.9031554, 46.3432751, 51.6393308, 56.2162379, 59.5499657, 62.5101821, 64.9909661, 66.8983333, 68.1625000, 69.6725000, 71.1841667, 73.1808333, 76.4083333, 79.2358333, 81.8008333, 83.8541667, 85.6400000, 88.2483333, 90.3858333, 92.7825000, 91.9450000, 93.2241667, 96.5375000, 99.2175000, 99.6541667, 99.4950000, 100.0000000, 100.6358333, 102.2016667, 103.3950000, 103.7364280, 104.8627234, 106.3546732 
Romania,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2.3413133, 3.2508333, 8.2875000, 13.1850000, 19.2250000, 28.0050000, 37.6575000, 46.1366667, 53.1808333, 59.5058333, 64.9041667, 69.1908333, 72.5841667, 78.3308333, 82.7033333, 87.7258333, 92.8383333, 95.9791667, 99.0441667, 100.4141667, 99.9991667, 98.9250000, 100.0033333, 104.0800000, 108.1855767, 111.9286035, 115.7137104 
Slovenia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 41.7214340, 45.8558333, 49.6791667, 53.6116667, 56.8900000, 61.9833333, 67.3291667, 72.3733333, 76.4608333, 79.2583333, 81.1850000, 83.2541667, 86.4208333, 91.1933333, 91.9683333, 93.8591667, 95.8083333, 98.5000000, 100.4008333, 100.7683333, 99.9991667, 99.8458333, 101.4000000, 103.3608333, 105.1994349, 107.2400650, 109.4375307 
Slovakia,(2015 = 100) ,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 41.4858403, 43.8858333, 46.5250000, 49.6358333, 54.8208333, 61.5033333, 65.9025000, 68.2108333, 73.9633333, 79.4908333, 81.7075000, 85.1916667, 86.8016667, 90.2183333, 91.0533333, 91.6858333, 95.4275000, 98.9983333, 100.4475000, 100.3450000, 100.0000000, 99.5183333, 100.9025000, 103.4583333, 106.2822472, 108.9915518, 111.3503640 
